dataset,variant,seed,signal,context_feature,correlation,num_days
nasdaq,moe,0,expert_0_weight,market_volatility,0.4243977396502315,237
nasdaq,moe,0,expert_0_weight,pca_ratio,0.17324945468250474,237
nasdaq,moe,0,expert_0_weight,cross_sectional_dispersion,-0.09330800442452007,237
nasdaq,moe,0,expert_1_weight,market_volatility,0.4182973945585921,237
nasdaq,moe,0,expert_1_weight,pca_ratio,0.16257867563042785,237
nasdaq,moe,0,expert_1_weight,cross_sectional_dispersion,-0.09495890516836034,237
nasdaq,moe,0,expert_2_weight,market_volatility,-0.7280688704871698,237
nasdaq,moe,0,expert_2_weight,pca_ratio,-0.5712489354622793,237
nasdaq,moe,0,expert_2_weight,cross_sectional_dispersion,0.22029232943852387,237
nasdaq,moe,0,expert_3_weight,market_volatility,0.7296367664921846,237
nasdaq,moe,0,expert_3_weight,pca_ratio,0.5762362200888718,237
nasdaq,moe,0,expert_3_weight,cross_sectional_dispersion,-0.22153372909629343,237
nasdaq,moe,1,expert_0_weight,market_volatility,0.008332875589406864,237
nasdaq,moe,1,expert_0_weight,pca_ratio,-0.08534472422920926,237
nasdaq,moe,1,expert_0_weight,cross_sectional_dispersion,0.28348150908776654,237
nasdaq,moe,1,expert_1_weight,market_volatility,-0.009547110020967683,237
nasdaq,moe,1,expert_1_weight,pca_ratio,0.08110290754099603,237
nasdaq,moe,1,expert_1_weight,cross_sectional_dispersion,-0.2781590948981812,237
nasdaq,moe,1,expert_2_weight,market_volatility,0.009051466996432864,237
nasdaq,moe,1,expert_2_weight,pca_ratio,-0.08130539706079601,237
nasdaq,moe,1,expert_2_weight,cross_sectional_dispersion,0.2782099714879673,237
nasdaq,moe,1,expert_3_weight,market_volatility,0.011322778712649799,237
nasdaq,moe,1,expert_3_weight,pca_ratio,-0.07617059230788713,237
nasdaq,moe,1,expert_3_weight,cross_sectional_dispersion,0.2720621706535552,237
